"","Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Proximity_to_Industrial_Areas","Population_Density","Air.Quality"
"2",28.3,75.6,2.3,12.2,30.8,9.7,1.64,6,611,"Moderate"
"3",23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,"Moderate"
"4",27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,"Good"
"5",26.5,70.7,6.9,16,21.9,5.6,1.01,12.7,303,"Good"
"6",39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,"Hazardous"
"7",41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,"Poor"
"8",31,59.6,5,16.8,24.2,13.6,1.38,6.3,443,"Moderate"
"9",29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,"Poor"
"10",33.2,80.5,11.1,24.4,32,15.3,1.69,4.9,535,"Poor"
"11",26.3,65.7,1.3,5.5,18.3,5.9,0.85,13,529,"Good"
"12",32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,"Moderate"
"13",20,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,"Good"
"14",28.6,53.7,28.9,34,23.2,4.5,1.02,11,508,"Good"
"15",22.3,80.5,4.5,12,17.2,6.3,1.18,10.4,232,"Good"
"16",32,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,"Moderate"
"18",37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,"Poor"
"19",34.7,59.3,9,15.7,28.5,7.1,1.52,6.1,437,"Moderate"
"20",37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,"Poor"
"21",27.6,44.1,3.5,14.4,30.7,9.4,0.97,8,338,"Moderate"
"22",27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,"Good"
"23",25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10,536,"Good"
"24",24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,"Good"
"25",26.2,49.9,0.5,2,22.9,2.3,0.94,17.9,581,"Good"
"26",22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,"Good"
"27",30,69.2,2,3.9,15.3,5.2,1.09,10.1,297,"Good"
"28",37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,637,"Poor"
"29",29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,452,"Good"
"30",52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,785,"Hazardous"
"32",23.3,45.2,24,29,26.6,5.3,0.96,10.9,575,"Good"
"33",35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,440,"Poor"
"34",29.7,85.8,84.4,94.4,26.7,19.8,1.55,10,744,"Poor"
"36",27.7,86.1,83.3,93.5,25.3,6.8,1.71,7.4,594,"Moderate"
"37",27.5,78.9,30.2,34.1,15.3,3,0.98,11.1,472,"Good"
"38",28,72.2,18.5,25,24.9,6.1,1.32,13.2,480,"Good"
"39",22.2,50,2.3,8.4,23.5,3.7,0.96,10.2,547,"Good"
"40",33.3,70.1,55.1,72.7,40.5,30.7,2.12,4.9,612,"Hazardous"
"42",30.9,94.4,48.3,67.1,31.4,23.3,1.75,4.3,779,"Poor"
"43",39.3,78.9,68.9,85.2,43.7,13,1.7,8.5,570,"Poor"
"46",17.4,56.5,2.6,6.9,21,3.5,0.92,11.6,475,"Good"
"47",18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,273,"Good"
"48",25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,524,"Good"
"50",25.3,47.4,70.7,84.8,22.4,8.2,1.59,13.2,587,"Moderate"
"51",42.1,89.8,12.1,35.3,41.4,30.4,2.67,2.8,861,"Hazardous"
"53",32.6,65.1,4.1,19.3,28,14.5,1.45,6.3,509,"Moderate"
"54",46.1,100.3,144,169.8,42.5,16.1,2.3,7.3,443,"Hazardous"
"55",33.5,81.2,23.4,56.5,34.2,27.2,1.95,3.7,600,"Hazardous"
"57",31.6,76.7,21.4,26.9,30.1,17.4,1.29,7.6,663,"Moderate"
"58",29,83.5,31.5,44.4,27,-2.8,1.49,5.7,538,"Moderate"
"59",24.9,82.2,19.5,27.9,25.6,2,1.54,8.1,458,"Moderate"
"60",27.7,99.4,17.8,29.9,37.5,9.9,1.74,5.4,588,"Poor"
"61",20.8,48.5,16,19.7,11.2,2.5,1.17,10.2,432,"Good"
"62",28.2,71.7,75.2,90,30.8,5,1.81,4.8,765,"Poor"
"63",32,69.7,95.7,110.4,36.1,20.5,2.3,6.8,673,"Poor"
"64",21.5,60,14.6,20.6,20.9,1.6,0.94,10.7,587,"Good"
"65",29.6,63.1,12.8,15.9,22,3.8,1.16,11,377,"Good"
"66",17.5,73.8,3.3,8.8,16.2,8.4,0.83,10.8,217,"Good"
"67",33.2,49.8,1.4,23.3,23,25.8,2.06,6.8,730,"Poor"
"68",58.6,66,44,54,44.3,22.7,3.09,5.2,641,"Hazardous"
"69",28.1,51.8,36,40.3,26.4,5.4,1.15,10.8,264,"Good"
"70",32,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,"Moderate"
"72",25.7,69.3,15.7,25,27.7,10.6,1.44,9.5,482,"Moderate"
"73",35.1,69.2,7.9,30.3,35.3,27.6,2.07,4.9,724,"Hazardous"
"74",26.7,63.2,6.8,9.3,13.4,4.9,0.98,10,358,"Good"
"75",20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,545,"Good"
"77",25.9,62.8,25.8,35.6,31.2,19,1.48,5.3,411,"Moderate"
"78",22.1,54,10.6,15.4,13.9,8.9,1,10.5,265,"Good"
"81",28,55.2,12.4,21.2,27.7,3.7,0.99,10.6,467,"Good"
"82",26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,533,"Good"
"84",41.4,65.4,34.3,52.8,42.7,9.4,1.87,2.5,721,"Hazardous"
"85",25.5,73.4,13.8,21.4,25.7,3.8,0.95,11,194,"Good"
"86",28.2,49.6,17,21.7,19.7,11.3,0.99,11.1,214,"Good"
"87",36.6,75.5,32.2,41.3,32.1,9.4,1.95,4.4,543,"Poor"
"88",18.8,77.7,11,15.8,20,5.6,1.09,11.2,409,"Good"
"89",26.3,77.5,23.1,29.5,15.1,3.7,0.92,10.4,399,"Good"
"91",23,50.7,1.1,5,24.8,2.1,1.12,12.4,593,"Good"
"92",22.3,78.8,19.3,26,26.1,5.5,0.82,10.7,214,"Good"
"93",21.4,76.9,2.3,6.7,23.4,2.8,1.09,14.7,338,"Good"
"94",44.7,75.6,6.6,28.3,25.7,23.5,2.1,4.1,643,"Poor"
"96",32.3,82,8.8,18.7,29.8,14.7,2.03,5.7,600,"Poor"
"97",33.5,70.8,8.1,16.3,22,15.9,1.63,5.1,527,"Moderate"
"98",33.1,52,7.2,15.9,38.9,12.1,1.46,7.3,452,"Moderate"
"99",25.5,48,15.5,19.9,18.6,7.7,1.04,10.3,503,"Good"
"100",29.9,77.8,1.5,23.4,43.8,20,1.89,6,681,"Poor"
"101",29.3,67.5,1.9,5,12.1,4.5,1.12,11,576,"Good"
"102",23.9,73.9,25.9,28.5,21.5,3.1,1.45,5.5,562,"Moderate"
"103",23.7,40,20.7,23,20.4,6.2,1.05,12.5,318,"Good"
"104",21.9,70.1,5.4,10.4,13.5,1.1,1.09,12.5,224,"Good"
"105",44.9,105.8,24.5,47.4,39.9,26.7,2.36,4,878,"Hazardous"
"106",27,45.5,6.2,13,24.3,5,1.01,10.7,205,"Good"
"107",49.6,87.5,81.9,87,40.4,18.4,2.14,2.9,631,"Hazardous"
"108",33.4,78.5,101.6,109.9,19.3,9.2,1.32,5,334,"Moderate"
"109",23.5,51.6,0,8.3,23.5,7.4,0.92,19.7,450,"Good"
"110",22.2,75.7,19,20.7,20.1,5.3,1.03,10.7,316,"Good"
"111",35.4,51.9,48.4,53,21,10.4,1.53,6.6,628,"Moderate"
"112",41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,748,"Poor"
"113",21,60.5,4.6,8.9,15.1,6.8,0.93,10.2,378,"Good"
"114",31.3,73.7,20.3,30.7,31.5,12.5,1.76,7.3,512,"Moderate"
"115",46.8,91.6,240.1,261.5,40.3,37.6,2.46,3.1,879,"Hazardous"
"116",23.9,66.7,14.3,16.9,21.8,7.8,1.07,10.4,413,"Good"
"117",24.6,45.1,0.4,6.4,21.2,1.7,0.94,10.1,226,"Good"
"118",24.1,59.3,14.4,33.1,31,16.7,2,5.3,622,"Poor"
"119",41.4,82.2,73.6,89.8,35.1,13.3,2.84,4.1,620,"Hazardous"
"121",26.7,57.9,50,59.6,26.3,9.4,1.68,6.3,541,"Moderate"
"122",24.6,51.3,3.9,8,21.7,5.9,0.98,12.8,454,"Good"
"123",32,70.7,8.4,11.3,24.5,6.1,1.6,8.2,382,"Moderate"
"124",29.5,77.2,27.9,44.4,26.3,23.1,1.68,7.7,586,"Poor"
"125",32.5,68.3,33.2,40.1,29,9.5,1.52,6.5,410,"Moderate"
"126",33,56.8,1.9,5,36.1,7.6,1.75,7.5,481,"Moderate"
"127",30.1,86.8,7.3,22.4,27.9,6,1.29,6,690,"Moderate"
"128",22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,291,"Good"
"129",27.4,81.5,18.9,30.4,22.6,12.8,1.55,5.1,341,"Moderate"
"130",28.3,40.6,2.3,6.9,25.3,4,0.88,12.5,590,"Good"
"131",30.8,68.9,2,11.5,23.6,13,1.46,7.1,638,"Moderate"
"132",27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,449,"Moderate"
"133",33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.9,310,"Moderate"
"135",29.6,78.9,9.3,19,31.3,11.2,1.74,6.8,714,"Moderate"
